stage,edition,books,legacy_candidates,no_candidate,verified
初中,人教版,9,8,1,0
初中,冀教版,8,0,8,0
初中,北师大版,9,0,9,0
初中,外研社版（主编：孙有中）,9,9,0,0
初中,沪外教版,8,0,8,0
初中,沪教版,10,0,10,0
初中,科普版,10,0,10,0
初中,译林版,10,0,10,0
初中（五•四学制）,教科外研社版,7,0,7,0
初中（五•四学制）,教科版,9,0,9,0
初中（五•四学制）,沪教版,14,0,14,0
初中（五•四学制）,鲁教版,11,0,11,0
小学,人教大同版,10,0,10,0
小学,人教版（主编：吴欣）,12,12,0,0
小学,人教版（主编：苗兴伟）,10,0,10,0
小学,冀教版,11,0,11,0
小学,北京版,13,0,13,0
小学,北师大版,12,0,12,0
小学,外研社版(主编：张祖春）,8,0,8,0
小学,外研社版（主编：刘兆义）,12,0,12,0
小学,外研社版（主编：孙有中）,12,0,12,0
小学,川教版,12,0,12,0
小学,接力社版,10,0,10,0
小学,教科版（主编：龚亚夫）,12,0,12,0
小学,沪教版,12,0,12,0
小学,清华大学版,7,0,7,0
小学,湘少版,11,0,11,0
小学,科普版,12,0,12,0
小学,粤教沪外教版,9,0,9,0
小学,译林版,12,0,12,0
小学,辽宁师大版,10,0,10,0
小学,重庆大学版,9,0,9,0
小学,闽教版,12,0,12,0
小学,陕旅版,14,0,14,0
小学,鲁教湘教版,10,0,10,0
小学（五•四学制）,沪教版,3,0,3,0
小学（五•四学制）,鲁科版,10,0,10,0
