stage,edition,grade,volume,revised_2022,resource_count,resource_ids
初中,人教版,7,上册,1,3,"a795a3b3-7150-e3ff-5eb8-d76684e53e3a,68d46462-868d-ccd5-9ea0-c385214b76e6,33f98190-ed21-f303-9657-d29d792f27a9"
初中,人教版,7,下册,1,2,"f7a7eb5e-12dc-4c96-a4b8-219ca3bcee19,5f12c902-f141-4ae2-9dcb-e2c504a7783b"
初中,人教版,8,上册,1,2,"453025ca-58bd-442e-8543-5ef5222d50c6,5700edda-c4c1-11ea-29c4-8fe2c1ca7beb"
初中,人教版,8,下册,1,1,467816b8-e76c-43fc-afc7-91638f97dba8
初中,人教版,9,上册,1,1,7055a895-2dbd-8b3d-4988-6c357fe5dae1
初中,冀教版,7,上册,1,2,"9a302b3a-92a7-2713-ecb0-78438c05bf28,6bc0797f-f38f-d43f-3849-cfca0acb0f11"
初中,冀教版,7,下册,1,2,"f0c5df3c-b649-4309-8ce5-455914d9f15c,f8344d21-4e85-4a71-5f02-b4ecae943972"
初中,冀教版,8,上册,1,2,"c720a469-fbb6-4e94-b59f-e5cfb133f296,448cb9d0-38c8-c2a5-e7f9-13015370b307"
初中,冀教版,8,下册,1,1,bfb70cd2-c00a-4bad-a7c9-79683b7f7404
初中,冀教版,9,上册,1,1,1b40f564-90cc-47d8-d7fd-9ce4362cc82d
初中,北师大版,7,上册,1,3,"1bb3e2fe-45a1-2999-e8b4-9fc63d0929bb,331959b8-d722-eac6-5466-4bac34806136,0b5bb159-2176-678c-4723-19799c829011"
初中,北师大版,7,下册,1,2,"7901c4be-a21e-49b4-afe8-793e29be5fad,33469df9-57bf-d078-af19-1de3dbfabfe0"
初中,北师大版,8,上册,1,2,"9620efee-9ef4-4601-9ff4-c677e64d7a44,f5985d26-222c-933d-50b2-0109cdc4e339"
初中,北师大版,8,下册,1,1,98165b99-7f4d-4534-a016-00f82526fc4d
初中,北师大版,9,上册,1,1,4fda3b14-5955-0c46-3bc7-1990ba4d0fc3
初中,外研社版（主编：孙有中）,7,上册,1,3,"e184b1ad-1d69-5695-601a-1b3b8ab6e885,b7ca9536-ccd7-a4db-56b3-971645c54515,adb3ff3e-323b-5895-30b3-b4aab73ebffd"
初中,外研社版（主编：孙有中）,7,下册,1,2,"d199388d-afe7-4ff2-912d-cea6ac4b9b1b,80a9d47b-a6c9-36c5-cd53-ba5ac343f971"
初中,外研社版（主编：孙有中）,8,上册,1,2,"23ad107e-37cc-5751-f3c0-e5d234106b2d,4631365b-5647-850e-5956-ca29c27a1d16"
初中,外研社版（主编：孙有中）,8,下册,1,1,e97b46fe-ed57-9d08-5533-60ff4bb437ae
初中,外研社版（主编：孙有中）,9,上册,1,1,2c8772f1-c624-51e1-215d-f0a35f4b5820
初中,沪外教版,7,上册,1,2,"456e85df-63bb-1b8b-928a-a60706d21704,3e5abc1b-2bc3-7e27-6525-2138ef0b298b"
初中,沪外教版,7,下册,1,1,2a2d221f-d407-49e9-bb53-267fde8b0d07
初中,沪外教版,8,上册,1,2,"6bec9b00-149b-41cd-a378-81f76c3f20cc,ce303c14-ba79-a2f5-7819-1ef12fb74479"
初中,沪外教版,8,下册,1,1,fadfbe3b-03d5-4b80-b5d8-3910ecf70ec6
初中,沪外教版,9,上册,1,1,aa6c165a-3d8e-40d7-aaf2-4c1b3af36c89
初中,沪外教版,9,下册,0,1,e7788a04-22eb-46ee-b16e-c0cf356c8a49
初中,沪教版,7,上册,1,3,"454dfc04-1259-20fe-cfa2-108408618de7,dcba2daf-0832-7ef4-2490-ceb47ff8fa2a,fc01119a-7b2b-d5fb-74c8-415bd8e00f4a"
初中,沪教版,7,下册,1,2,"13f39e27-05a6-4f55-aa35-09b29500b015,65a59980-6e5c-7f76-82e8-ab16222baafb"
初中,沪教版,8,上册,1,2,"01fb75fc-776a-43cc-a974-b03d61679125,90442b57-1067-ae52-9aa6-92fdcc4b8589"
初中,沪教版,8,下册,1,1,d9587713-66bd-4f85-806f-cc2fa5619cd3
初中,沪教版,9,上册,1,1,b1a19b7a-5a7f-4d0e-9f9d-b5e59dafc979
初中,沪教版,9,下册,0,1,8a9962e7-f8e6-4f5f-8e2a-df9bf874bf0c
初中,科普版,7,上册,1,3,"adf997ce-573b-ad1e-845e-1adcb1c53768,4360e8a1-7e94-34ab-eeaa-57819834b24b,183b9902-f0a9-6f61-748c-26929e5ce40c"
初中,科普版,7,下册,1,2,"3cb05979-f64e-48f8-8fc3-27e99abf6929,a0edf423-c4de-7780-672f-010b0c8a6f83"
初中,科普版,8,上册,1,2,"b40da2ba-8292-4cb0-986e-cc7da87f7855,c00290fc-3c5c-9221-1be3-77e4fed67197"
初中,科普版,8,下册,1,1,ff77182f-5acf-4b36-9dbf-6d8bbca2431a
