id,title,stage,edition,grade,volume,kind,status,entry_count,source,source_file
ChuZhongluan_2,中考必备词汇,初中,,,,exam,exam_reference,1420,kajweb,book/1521164669076_ChuZhongluan_2.zip
ChuZhong_3,新东方初中词汇,初中,,,,exam,exam_reference,1803,kajweb,book/1521164652700_ChuZhong_3.zip
PEPXiaoXue3_1,人教版小学英语-三年级上册,小学,人教版（主编：吴欣）,3,上册,textbook,legacy_unverified,64,kajweb,book/1521164661774_PEPXiaoXue3_1.zip
PEPXiaoXue3_2,人教版小学英语-三年级下册,小学,人教版（主编：吴欣）,3,下册,textbook,legacy_unverified,72,kajweb,book/1521164656604_PEPXiaoXue3_2.zip
PEPXiaoXue4_1,人教版小学英语-四年级上册,小学,人教版（主编：吴欣）,4,上册,textbook,legacy_unverified,84,kajweb,book/1521164677447_PEPXiaoXue4_1.zip
PEPXiaoXue4_2,人教版小学英语-四年级下册,小学,人教版（主编：吴欣）,4,下册,textbook,legacy_unverified,104,kajweb,book/1521164663086_PEPXiaoXue4_2.zip
PEPXiaoXue5_1,人教版小学英语-五年级上册,小学,人教版（主编：吴欣）,5,上册,textbook,legacy_unverified,131,kajweb,book/1530101080610_PEPXiaoXue5_1.zip
PEPXiaoXue5_2,人教版小学英语-五年级下册,小学,人教版（主编：吴欣）,5,下册,textbook,legacy_unverified,156,kajweb,book/1530101073491_PEPXiaoXue5_2.zip
PEPXiaoXue6_1,人教版小学英语-六年级上册,小学,人教版（主编：吴欣）,6,上册,textbook,legacy_unverified,130,kajweb,book/1530101075331_PEPXiaoXue6_1.zip
PEPXiaoXue6_2,人教版小学英语-六年级下册,小学,人教版（主编：吴欣）,6,下册,textbook,legacy_unverified,108,kajweb,book/1521164632445_PEPXiaoXue6_2.zip
PEPChuZhong7_1,人教版初中英语-七年级上册,初中,人教版,7,上册,textbook,legacy_unverified,392,kajweb,book/1530101067588_PEPChuZhong7_1.zip
PEPChuZhong7_2,人教版初中英语-七年级下册,初中,人教版,7,下册,textbook,legacy_unverified,492,kajweb,book/1521164677043_PEPChuZhong7_2.zip
PEPChuZhong8_1,人教版初中英语-八年级上册,初中,人教版,8,上册,textbook,legacy_unverified,419,kajweb,book/1530101070747_PEPChuZhong8_1.zip
PEPChuZhong8_2,人教版初中英语-八年级下册,初中,人教版,8,下册,textbook,legacy_unverified,466,kajweb,book/1521164666522_PEPChuZhong8_2.zip
PEPChuZhong9_1,人教版初中英语-九年级全册,初中,人教版,9,全册,textbook,legacy_unverified,551,kajweb,book/1530101078234_PEPChuZhong9_1.zip
WaiYanSheChuZhong_1,外研社版初中英语-七年级上册,初中,外研社版（主编：孙有中）,7,上册,textbook,legacy_unverified,629,kajweb,book/reciteWord_1545032533243_WaiYanSheChuZhong_1.zip
WaiYanSheChuZhong_2,外研社版初中英语-七年级下册,初中,外研社版（主编：孙有中）,7,下册,textbook,legacy_unverified,438,kajweb,book/reciteWord_1545032493536_WaiYanSheChuZhong_2.zip
WaiYanSheChuZhong_3,外研社版初中英语-八年级上册,初中,外研社版（主编：孙有中）,8,上册,textbook,legacy_unverified,320,kajweb,book/reciteWord_1545032532744_WaiYanSheChuZhong_3.zip
WaiYanSheChuZhong_4,外研社版初中英语-八年级下册,初中,外研社版（主编：孙有中）,8,下册,textbook,legacy_unverified,266,kajweb,book/reciteWord_1545032533455_WaiYanSheChuZhong_4.zip
WaiYanSheChuZhong_5,外研社版初中英语-九年级上册,初中,外研社版（主编：孙有中）,9,上册,textbook,legacy_unverified,381,kajweb,book/reciteWord_1545032533808_WaiYanSheChuZhong_5.zip
WaiYanSheChuZhong_6,外研社版初中英语-九年级下册,初中,外研社版（主编：孙有中）,9,下册,textbook,legacy_unverified,128,kajweb,book/reciteWord_1545032534071_WaiYanSheChuZhong_6.zip
ChuZhong_2,初中英语词汇（正序版）,初中,,,,exam,exam_reference,1420,kajweb,book/1521164647926_ChuZhong_2.zip
